response_id,question_no,max_score,human_score,ai_score,latency_s,input_tokens,output_tokens,cost_usd,error,ai_feedback
32654936,Q9,6.0,6.0,6.0,4.358,1060,1224,0.00058,,
32797052,Q9,6.0,3.0,3.0,6.388,1021,2107,0.00093,,
32837046,Q9,6.0,6.0,6.0,5.846,1059,2090,0.000926,,
32837283,Q9,6.0,3.0,3.0,7.711,929,2328,0.00101,,
32837526,Q9,6.0,4.0,6.0,11.21,1029,1931,0.00086,,
32837542,Q9,6.0,6.0,6.0,4.944,1166,1339,0.000635,,
32837771,Q9,6.0,6.0,6.0,9.084,1143,2880,0.001249,,
32838336,Q9,6.0,6.0,6.0,8.716,1042,1710,0.000773,,
32838662,Q9,6.0,5.0,5.0,8.097,992,1318,0.000612,,
32839308,Q9,6.0,3.0,4.5,7.122,1028,2540,0.001103,,
32839464,Q9,6.0,2.0,2.0,4.477,1079,1363,0.000637,,
32839502,Q9,6.0,6.0,6.0,5.547,1092,1481,0.000685,,
32839839,Q9,6.0,6.0,6.0,4.883,1113,1482,0.000687,,
32840748,Q9,6.0,6.0,6.0,4.517,1164,1190,0.000575,,
32840802,Q9,6.0,2.0,4.0,6.797,1148,2071,0.000926,,
32841132,Q9,6.0,4.0,4.0,7.197,1046,1727,0.00078,,
32841523,Q9,6.0,6.0,6.0,5.179,1108,1954,0.000876,,
32841558,Q9,6.0,5.0,5.0,14.356,1034,2546,0.001106,,
32842716,Q9,6.0,6.0,6.0,8.756,1085,1257,0.000595,,
32843194,Q9,6.0,2.0,2.0,6.348,1011,1771,0.000794,,
32843577,Q9,6.0,4.0,5.0,10.92,1022,2317,0.001014,,
32843763,Q9,6.0,3.0,2.0,6.701,1049,2373,0.001038,,
32843992,Q9,6.0,6.0,6.0,8.552,1038,1781,0.000801,,
32844301,Q9,6.0,4.0,4.5,10.546,1078,2536,0.001106,,
32654936,Q22,6.0,3.0,3.0,6.137,1307,1012,0.000516,,
32797052,Q22,6.0,6.0,2.0,15.195,1224,2268,0.001011,,
32837046,Q22,6.0,3.0,2.0,4.757,1174,1118,0.000547,,
32837283,Q22,6.0,3.0,2.0,12.375,1137,1350,0.000637,,
32837526,Q22,6.0,3.0,1.0,6.017,1163,1292,0.000616,,
32837542,Q22,6.0,6.0,5.5,7.009,1236,1991,0.000901,,
32837771,Q22,6.0,3.0,2.0,6.058,1158,1190,0.000574,,
32838336,Q22,6.0,3.0,3.0,5.809,1046,1495,0.000687,,
32838859,Q22,6.0,3.0,3.0,7.682,1206,1397,0.000661,,
32839308,Q22,6.0,3.0,1.0,8.292,1180,1347,0.000639,,
32839464,Q22,6.0,3.0,2.5,7.158,1297,1321,0.000639,,
32839502,Q22,6.0,6.0,5.0,8.17,1192,2716,0.001188,,
32839839,Q22,6.0,6.0,5.5,6.744,1219,2140,0.00096,,
32840748,Q22,6.0,5.0,5.0,7.139,1159,2292,0.001015,,
32840802,Q22,6.0,6.0,4.0,6.227,1092,1657,0.000756,,
32841132,Q22,6.0,4.0,4.0,5.884,1142,2050,0.000917,,
32841523,Q22,6.0,6.0,6.0,6.76,1174,2228,0.000991,,
32841558,Q22,6.0,6.0,4.0,9.756,1091,2547,0.001112,,
32842716,Q22,6.0,6.0,1.0,10.551,1121,1958,0.000878,,
32843577,Q22,6.0,6.0,6.0,6.131,1100,1992,0.00089,,
32843763,Q22,6.0,3.0,2.0,9.662,1162,1678,0.00077,,
32844301,Q22,6.0,6.0,5.0,9.694,1109,2093,0.000931,,
30881447,Q6,10.0,5.0,4.0,144.088,1036,3909,0.001652,,
31062377,Q6,10.0,4.0,7.0,343.58,1001,3516,0.001491,,
31106897,Q6,10.0,3.0,7.5,123.729,1027,4796,0.002006,,
31106951,Q6,10.0,7.0,7.5,388.783,1310,3737,0.001606,,
31107125,Q6,10.0,9.0,6.0,91.452,995,3185,0.001359,,
31107990,Q6,10.0,8.0,7.0,313.982,1131,3836,0.001631,,
31108490,Q6,10.0,7.0,6.0,106.26,1128,4567,0.001923,,
31110185,Q6,10.0,7.0,7.5,447.688,1047,5324,0.002219,,
31172091,Q6,10.0,7.0,6.0,99.377,935,3130,0.001331,,
31439209,Q6,10.0,6.0,5.0,128.336,980,3650,0.001543,,
30881447,Q8,10.0,5.5,6.0,73.5,1030,2633,0.001141,,
31109462,Q8,10.0,4.5,6.0,161.744,999,1683,0.000758,,
32838859,Q9,6.0,5.0,5.0,172.975,1033,2224,0.000977,,
32838662,Q22,6.0,6.0,6.0,248.435,1161,2404,0.00106,,
32843194,Q22,6.0,3.0,2.0,153.833,1159,2225,0.000989,,
32843992,Q22,6.0,6.0,6.0,161.669,1197,2458,0.001085,,
31107494,Q6,10.0,4.0,4.0,201.599,1022,4364,0.001832,,
31108547,Q6,10.0,5.0,4.5,353.575,1072,3424,0.001461,,
31109551,Q6,10.0,6.0,6.0,319.209,1129,5351,0.002236,,
31109675,Q6,10.0,6.0,6.0,217.047,1295,3237,0.001405,,
31394647,Q6,10.0,8.0,6.0,71.883,1168,3385,0.001453,,
31109578,Q6,10.0,3.0,5.0,100.083,1044,3363,0.001434,,
31109578,Q8,10.0,4.5,5.0,214.078,1038,2904,0.00125,,
31108083,Q6,10.0,8.0,0.0,27.956,0,0,0.0,"empty_choices: {'message': 'Provider timed out after 11221ms', 'code': 504}",
